state,cases,deaths
Oregon,203033,2718
South Dakota,124261,2022
Kentucky,461712,7140
Georgia,1101190,20322
New Mexico,203472,4282
New Jersey,1017695,26273
Maryland,460684,9639
Hawaii,35281,499
Arkansas,342345,5846
Tennessee,849400,12376
Virgin Islands,3512,28
Arizona,883314,17698
West Virginia,162232,2813
Idaho,192870,2103
Maine,68154,839
Guam,9173,140
Texas,2956935,51874
Massachusetts,707940,17907
Illinois,1388953,25314
Louisiana,472981,10615
Alabama,545585,11198
Delaware,109070,1677
New York,2103612,52852
Connecticut,347891,8246
District of Columbia,49068,1136
Oklahoma,453552,7316
Puerto Rico,172564,2516
Michigan,993178,20573
Minnesota,602521,7554
Pennsylvania,1209878,27404
Mississippi,318189,7325
Missouri,617895,9737
Nebraska,223558,2504
Washington,441888,5881
New Hampshire,98877,1355
Nevada,325392,5600
Indiana,749890,13685
Wyoming,60623,720
Iowa,371956,6068
North Carolina,1005366,13168
Montana,112366,1632
Alaska,69886,352
North Dakota,110209,1547
Kansas,316626,5121
Vermont,24252,256
Colorado,549430,6756
Wisconsin,675363,7954
Northern Mariana Islands,183,2
Virginia,676586,11229
California,3795063,63423
South Carolina,593948,9752
Rhode Island,151992,2717
Ohio,1104380,19980
Florida,2329859,36972
Utah,407489,2311
